,SiteName_x,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,hash,SiteName_y,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
67,嘉義,嘉義市,84,細懸浮微粒,普通,2.5,0.55,0.5,7.6,6,58,30,20,24,3.8,0.8,91,2019/10/22 07:00,29,57,4,120.440833,23.462778,42,42-2019-10-22 07:00:00,42,東北,1,,,20.7,96,1012.3,,0,中央氣象局,2019/10/22 07:00
68,大里,臺中市,67,細懸浮微粒,普通,3.2,0.63,0.5,1.9,5,43,21,23,37,14,0.7,283,2019/10/22 07:00,22,41,3,120.677689,24.099611,30,30-2019-10-22 07:00:00,30,靜風,,,,21.2,81,1012.5,,0,中央氣象局,2019/10/22 07:00
69,金門,金門縣,71,臭氧八小時,普通,1.9,0.24,0.2,61,61,50,19,6.7,7,0.2,2.1,5,2019/10/22 07:00,20,46,3,118.312256,24.432133,77,77-2019-10-22 07:00:00,77,北北東,3,,,20.5,65,1015.7,,0,中央氣象局,2019/10/22 07:00
70,馬祖,連江縣,97,臭氧八小時,普通,1.9,0.31,0.2,62,69,34,21,5.4,5.9,0.5,1.8,355,2019/10/22 07:00,19,31,2,119.949875,26.160469,75,75-2019-10-22 07:00:00,75,北,2,,,20.3,75,1015.7,,0,中央氣象局,2019/10/22 07:00
71,馬公,澎湖縣,58,臭氧八小時,普通,0.7,0.15,0.1,58,57,33,18,1.6,5.2,3.5,4.3,28,2019/10/22 07:00,15,33,1,119.566158,23.569031,78,78-2019-10-22 07:00:00,78,北北東,3,,,23.6,81,1012.8,,0,中央氣象局,2019/10/22 07:00
72,沙鹿,臺中市,48,,良好,1.8,0.22,0.1,16,25,21,15,18,19,1.4,1.7,0.8,2019/10/22 07:00,15,22,2,120.568794,24.225628,29,29-2019-10-22 07:00:00,29,北,2,,,20.2,77,1012.7,,0,中央氣象局,2019/10/22 07:00
73,觀音,桃園市,46,,良好,3.5,0.22,0.2,39,41,33,15,16,17,1.5,3.6,80,2019/10/22 07:00,14,29,4,121.082761,25.035503,19,19-2019-10-22 07:00:00,19,東北東,2,,,21.2,65,1013.3,,0,中央氣象局,2019/10/22 07:00
74,新竹,新竹市,44,,良好,2.6,0.24,0.3,42,37,27,10,12,12,0.3,1.7,54,2019/10/22 07:00,14,28,3,120.972075,24.805619,24,24-2019-10-22 07:00:00,24,北北東,1,,,22.2,67,1013.2,,0,中央氣象局,2019/10/22 07:00
75,萬華,臺北市,42,,良好,1.1,0.39,0.3,15,31,24,14,26,30,4.5,1,168,2019/10/22 07:00,13,28,1,121.507972,25.046503,13,13-2019-10-22 07:00:00,13,東南,1,,,20.8,83,1014,,0,中央氣象局,2019/10/22 07:00
76,冬山,宜蘭縣,42,,良好,1.7,0.15,0.1,33,35,24,14,5.1,5.5,0.4,1,256,2019/10/22 07:00,13,22,1,121.792928,24.632203,66,66-2019-10-22 07:00:00,66,西,1,,,20.6,73,1014.3,,0,中央氣象局,2019/10/22 07:00
77,板橋,新北市,42,,良好,1.4,0.38,0.3,19,32,20,13,21,25,3.5,1.2,67,2019/10/22 07:00,13,22,1,121.458667,25.012972,6,6-2019-10-22 07:00:00,6,東北東,1,,,21.1,75,1013.9,,0,中央氣象局,2019/10/22 07:00
78,基隆,基隆市,40,,良好,3.6,1.2,0.4,2.4,19,40,17,,,,0.4,90,2019/10/22 07:00,12,26,2,121.760056,25.129167,1,1-2019-10-22 07:00:00,1,南南西,2,,,19.8,72,1013.9,,0,中央氣象局,2019/10/22 07:00
79,恆春,屏東縣,46,,良好,0.7,0.11,0.1,48,50,21,12,0.9,2.7,1.9,7.7,18,2019/10/22 07:00,11,19,1,120.788928,21.958069,61,61-2019-10-22 07:00:00,61,東北,2,,,24.3,78,1011.9,,0,中央氣象局,2019/10/22 07:00
80,陽明,臺北市,51,臭氧八小時,普通,1.3,0.12,0.1,56,55,23,11,0.9,1.2,0.3,,,2019/10/22 06:00,9,18,1,121.529583,25.182722,64,64-2019-10-22 06:00:00,64,東北東,2,,,14.9,89,,,0,中央氣象局,2019/10/22 06:00
81,臺東,臺東縣,38,,良好,1.9,0.19,0.2,38,41,21,10,1.9,1.7,/0.3,2.3,306,2019/10/22 06:00,9,16,2,121.15045,22.755358,62,62-2019-10-22 06:00:00,62,北北西,1,,,22.3,76,1012.6,,0,中央氣象局,2019/10/22 06:00
82,臺南,臺南市,85,細懸浮微粒,普通,6.3,0.42,0.5,5.7,14,69,33,27,29,1.3,0.9,15,2019/10/22 06:00,29,67,4,120.202617,22.984581,46,46-2019-10-22 06:00:00,46,北北西,2,,,22.5,76,1012.1,,0,中央氣象局,2019/10/22 06:00
83,嘉義,嘉義市,83,細懸浮微粒,普通,2.3,0.48,0.5,4.8,6,62,29,18,19,1.2,1.1,74,2019/10/22 06:00,28,57,4,120.440833,23.462778,42,42-2019-10-22 06:00:00,42,東北東,1,,,19.2,89,1011.8,,0,中央氣象局,2019/10/22 06:00
84,大里,臺中市,67,細懸浮微粒,普通,2.9,0.46,0.5,2.3,6,42,25,22,25,3.1,0.7,80,2019/10/22 06:00,22,40,3,120.677689,24.099611,30,30-2019-10-22 06:00:00,30,東,1,,,20.6,83,1012,,0,中央氣象局,2019/10/22 06:00
85,金門,金門縣,71,臭氧八小時,普通,2.1,0.24,0.2,65,61,49,21,5.8,5.9,0.1,2.1,7,2019/10/22 06:00,21,46,3,118.312256,24.432133,77,77-2019-10-22 06:00:00,77,北北東,3,,,19.3,69,1015.4,,0,中央氣象局,2019/10/22 06:00
86,馬祖,連江縣,100,臭氧八小時,普通,1.2,0.26,0.2,65,70,31,19,4.4,5.2,0.8,1.6,340,2019/10/22 06:00,19,31,2,119.949875,26.160469,75,75-2019-10-22 06:00:00,75,北,1,,,19.5,78,1015.4,,0,中央氣象局,2019/10/22 06:00
87,沙鹿,臺中市,49,,良好,1.5,0.12,0.1,17,27,20,16,14,15,0.4,2.5,356,2019/10/22 06:00,15,23,2,120.568794,24.225628,29,29-2019-10-22 06:00:00,29,北,2,,,19.4,79,1012.4,,0,中央氣象局,2019/10/22 06:00
88,馬公,澎湖縣,58,臭氧八小時,普通,0.4,0.14,0.1,58,57,30,12,1,4.3,3.4,4.1,28,2019/10/22 06:00,14,34,1,119.566158,23.569031,78,78-2019-10-22 06:00:00,78,北北東,3,,,23,85,1012.3,,0,中央氣象局,2019/10/22 06:00
89,觀音,桃園市,46,,良好,8.1,0.22,0.2,36,42,23,11,22,23,1,3.2,82,2019/10/22 06:00,14,28,4,121.082761,25.035503,19,19-2019-10-22 06:00:00,19,東北東,2,,,20.8,62,1013,,0,中央氣象局,2019/10/22 06:00
90,新竹,新竹市,46,,良好,3,0.18,0.3,46,36,23,14,8.7,8.9,0.2,1.8,59,2019/10/22 06:00,14,28,3,120.972075,24.805619,24,24-2019-10-22 06:00:00,24,北北東,1,,,21.6,69,1012.9,,0,中央氣象局,2019/10/22 06:00
91,萬華,臺北市,41,,良好,0.9,0.26,0.3,25,33,26,13,14,16,1.3,0.6,164,2019/10/22 06:00,13,29,1,121.507972,25.046503,13,13-2019-10-22 06:00:00,13,靜風,,,,20,87,1013.7,,0,中央氣象局,2019/10/22 06:00
92,板橋,新北市,41,,良好,1.5,0.21,0.3,29,32,22,12,11,12,0.8,0.9,136,2019/10/22 06:00,13,23,1,121.458667,25.012972,6,6-2019-10-22 06:00:00,6,東北東,1,,,20.8,78,1013.7,,0,中央氣象局,2019/10/22 06:00
93,冬山,宜蘭縣,41,,良好,1.3,0.14,0.1,37,36,19,18,2.8,3.1,0.3,1,252,2019/10/22 06:00,13,21,1,121.792928,24.632203,66,66-2019-10-22 06:00:00,66,西北,2,,,19.5,77,1013.9,,0,中央氣象局,2019/10/22 06:00
94,基隆,基隆市,38,,良好,1.8,0.32,0.3,11,22,23,13,12,21,8.3,0.4,88,2019/10/22 06:00,12,23,2,121.760056,25.129167,1,1-2019-10-22 06:00:00,1,西南,1,,,19.2,81,1013.6,,0,中央氣象局,2019/10/22 06:00
95,恆春,屏東縣,46,,良好,0.8,0.11,0.1,48,50,18,11,0.8,2.8,2,6.9,14,2019/10/22 06:00,10,19,1,120.788928,21.958069,61,61-2019-10-22 06:00:00,61,東北東,1,,,23.9,79,1011.6,,0,中央氣象局,2019/10/22 06:00
